Active Cores,Bandwidth (MB/s),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
1,5695.798828,c,w,262144,2,c,r,262144,2,20
1,5787.84082,c,w,262144,2,c,r,262144,2,3
1,5801.271484,c,w,262144,2,c,r,262144,2,21
1,5802.887695,c,w,262144,2,c,r,262144,2,17
1,5733.15625,c,w,262144,2,c,r,262144,2,28
1,5706.199219,c,w,262144,2,c,w,262144,2,5
1,5666.621582,c,w,262144,2,c,w,262144,2,25
1,5641.8125,c,w,262144,2,c,w,262144,2,13
1,5653.039062,c,w,262144,2,c,w,262144,2,12
1,5581.603027,c,w,262144,2,c,w,262144,2,4
1,5670.991699,c,w,262144,2,c,w,262144,2,24
1,5586.591797,c,w,262144,2,c,w,262144,2,10
1,5695.798828,c,w,262144,2,c,w,262144,2,26
1,5694.242188,c,w,262144,2,c,w,262144,2,6
1,5641.303223,c,w,262144,2,c,w,262144,2,19
1,5702.814453,c,w,262144,2,c,w,262144,2,27
1,5713.240723,c,w,262144,2,c,w,262144,2,7
1,5654.062012,c,w,262144,2,c,w,262144,2,18
1,5651.76123,c,w,262144,2,c,w,262144,2,11
1,5640.794434,c,w,262144,2,c,w,262144,2,14
1,5683.885254,c,w,262144,2,c,w,262144,2,2
1,5708.805664,c,w,262144,2,c,w,262144,2,22
1,5640.540039,c,w,262144,2,c,w,262144,2,3
1,5720.562012,c,w,262144,2,c,w,262144,2,23
1,5668.42041,c,w,262144,2,c,w,262144,2,15
1,5685.436035,c,w,262144,2,c,w,262144,2,21
1,5702.034668,c,w,262144,2,c,w,262144,2,1
1,5717.683594,c,w,262144,2,c,w,262144,2,17
1,5665.336914,c,w,262144,2,c,w,262144,2,28
1,5667.134766,c,w,262144,2,c,w,262144,2,8
1,5656.108887,c,w,262144,2,c,w,262144,2,16
1,5676.399902,c,w,262144,2,c,w,262144,2,29
1,5693.982422,c,w,262144,2,c,w,262144,2,9
1,5684.660645,c,w,262144,2,c,w,262144,2,20
1,5647.165039,c,w,262144,2,c,w,262144,2,30
1,5650.739258,c,r,262144,2,c,w,262144,2,23
1,5633.929688,c,r,262144,2,c,w,262144,2,5
1,5642.57666,c,r,262144,2,c,w,262144,2,15
1,5629.616211,c,r,262144,2,c,w,262144,2,4
1,5600.860352,c,r,262144,2,c,w,262144,2,14
1,5668.677246,c,r,262144,2,c,w,262144,2,22
1,5632.406738,c,r,262144,2,c,w,262144,2,29
1,5634.691895,c,r,262144,2,c,w,262144,2,6
1,5610.413086,c,r,262144,2,c,w,262144,2,16
1,5645.634766,c,r,262144,2,c,w,262144,2,30
1,5658.413086,c,r,262144,2,c,w,262144,2,20
1,5630.376953,c,r,262144,2,c,w,262144,2,21
1,5640.285156,c,r,262144,2,c,w,262144,2,28
1,5618.987793,c,r,262144,2,c,w,262144,2,7
1,5626.322266,c,r,262144,2,c,w,262144,2,17
1,5613.94043,c,r,262144,2,c,w,262144,2,12
1,5652.016602,c,r,262144,2,c,w,262144,2,2
1,5623.537598,c,r,262144,2,c,w,262144,2,24
1,5625.056641,c,r,262144,2,c,w,262144,2,25
1,5637.741211,c,r,262144,2,c,w,262144,2,13
1,5610.916504,c,r,262144,2,c,w,262144,2,3
1,5628.855957,c,r,262144,2,c,w,262144,2,18
1,5619.240723,c,r,262144,2,c,w,262144,2,27
1,5648.441406,c,r,262144,2,c,w,262144,2,8
1,5649.973145,c,r,262144,2,c,w,262144,2,11
1,5617.725098,c,r,262144,2,c,w,262144,2,1
1,5631.898926,c,r,262144,2,c,w,262144,2,10
1,5609.657227,c,r,262144,2,c,w,262144,2,19
1,5621.514648,c,r,262144,2,c,w,262144,2,26
1,5634.945801,c,r,262144,2,c,w,262144,2,9
1,5771.272949,c,r,262144,2,c,r,262144,2,6
1,5779.8125,c,r,262144,2,c,r,262144,2,14
1,5801.271484,c,r,262144,2,c,r,262144,2,22
1,5773.138672,c,r,262144,2,c,r,262144,2,23
1,5766.746582,c,r,262144,2,c,r,262144,2,7
1,5750.298828,c,r,262144,2,c,r,262144,2,15
1,5774.205078,c,r,262144,2,c,r,262144,2,21
1,5755.859375,c,r,262144,2,c,r,262144,2,28
1,5756.124512,c,r,262144,2,c,r,262144,2,17
1,5771.272949,c,r,262144,2,c,r,262144,2,5
1,5772.072754,c,r,262144,2,c,r,262144,2,29
1,5798.311523,c,r,262144,2,c,r,262144,2,16
1,5796.429688,c,r,262144,2,c,r,262144,2,4
1,5747.654785,c,r,262144,2,c,r,262144,2,20
1,5768.609375,c,r,262144,2,c,r,262144,2,30
1,5757.450195,c,r,262144,2,c,r,262144,2,8
1,5760.368652,c,r,262144,2,c,r,262144,2,25
1,5773.672363,c,r,262144,2,c,r,262144,2,13
1,5728.689453,c,r,262144,2,c,r,262144,2,1
1,5747.126465,c,r,262144,2,c,r,262144,2,12
1,5780.07959,c,r,262144,2,c,r,262144,2,9
1,5756.654785,c,r,262144,2,c,r,262144,2,24
1,5763.821777,c,r,262144,2,c,r,262144,2,2
1,5754.534668,c,r,262144,2,c,r,262144,2,10
1,5765.682617,c,r,262144,2,c,r,262144,2,19
1,5791.86377,c,r,262144,2,c,r,262144,2,26
1,5779.277832,c,r,262144,2,c,r,262144,2,18
1,5760.899414,c,r,262144,2,c,r,262144,2,27
1,5761.696289,c,r,262144,2,c,r,262144,2,3
1,5780.881348,c,r,262144,2,c,r,262144,2,11
0,8681.761719,c,r,262144,2,c,r,262144,2,6
0,8708.374023,c,r,262144,2,c,r,262144,2,14
0,8704.129883,c,r,262144,2,c,r,262144,2,22
0,8691.419922,c,r,262144,2,c,r,262144,2,23
0,8668.515625,c,r,262144,2,c,r,262144,2,7
